SK_ID_CURR,FLAG_OWN_CAR,OWN_CAR_AGE,FLAG_OWN_REALTY,NAME_HOUSING_TYPE,REGION_RATING_CLIENT
226876,N,,Y,House / apartment,2
373847,N,,Y,Office apartment,2
207587,N,,Y,House / apartment,2
291264,Y,17.0,N,House / apartment,3
259270,N,,Y,House / apartment,3
120868,Y,3.0,Y,House / apartment,2
250284,N,,N,House / apartment,2
441049,Y,19.0,Y,House / apartment,2
276718,Y,18.0,Y,House / apartment,2
338032,N,,Y,House / apartment,2
105903,Y,6.0,Y,House / apartment,2
282708,Y,8.0,N,House / apartment,2
203607,Y,1.0,Y,House / apartment,3
247668,Y,4.0,N,House / apartment,3
144228,N,,N,House / apartment,2
396587,N,,Y,House / apartment,2
328892,N,,Y,House / apartment,2
142504,N,,Y,House / apartment,1
276009,N,,N,House / apartment,2
112860,N,,N,House / apartment,3
335920,N,,Y,House / apartment,1
350863,N,,Y,House / apartment,3
293135,N,,Y,House / apartment,2
356129,Y,7.0,Y,House / apartment,2
384897,N,,Y,House / apartment,2
223646,N,,Y,House / apartment,2
173253,Y,16.0,Y,House / apartment,2
215640,Y,17.0,Y,House / apartment,2
343279,Y,8.0,Y,House / apartment,2
151641,Y,5.0,Y,House / apartment,2
354408,N,,N,House / apartment,3
191283,N,,Y,House / apartment,3
437976,Y,10.0,N,Municipal apartment,2
270900,N,,Y,House / apartment,3
333770,Y,10.0,N,House / apartment,1
100994,N,,N,Municipal apartment,2
453502,Y,12.0,N,House / apartment,2
394486,N,,Y,House / apartment,2
282894,Y,9.0,Y,House / apartment,3
182795,N,,Y,House / apartment,2
212770,N,,Y,House / apartment,2
104379,N,,N,Municipal apartment,2
171872,N,,N,With parents,2
200431,N,,Y,House / apartment,2
100329,Y,19.0,Y,House / apartment,3
218173,N,,Y,With parents,3
421971,N,,N,House / apartment,2
387870,N,,Y,House / apartment,2
159014,Y,3.0,Y,House / apartment,2
190244,Y,13.0,Y,House / apartment,2
102663,N,,N,House / apartment,2
280345,N,,N,House / apartment,3
445833,N,,Y,House / apartment,2
444553,Y,13.0,N,House / apartment,2
185657,N,,N,House / apartment,2
264643,Y,11.0,Y,House / apartment,2
120394,Y,14.0,Y,House / apartment,2
