SK_ID_CURR,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT_W_CITY,REG_CITY_NOT_LIVE_CITY,REG_REGION_NOT_WORK_REGION,APARTMENTS_AVG,YEARS_BEGINEXPLUATATION_AVG,ELEVATORS_AVG
226876,0.010966,2,0,0,0.1474,0.9871,0.16
373847,0.014464,2,0,0,0.0464,0.9821,0.0
207587,0.01885,2,0,0,0.0577,0.9901,0.08
291264,0.018029,3,0,0,,,
259270,0.020246,3,0,0,0.0072,0.9697,0.0
120868,0.028663,2,0,0,,,
250284,0.018801,2,0,0,,,
441049,0.025164,2,0,0,0.0443,0.9732,0.0
276718,0.035792,2,0,0,,,
338032,0.00733,2,0,0,,,
105903,0.025164,2,1,0,,,
282708,0.031329,2,0,0,,,
203607,0.020713,2,0,0,0.1928,0.9762,0.0
247668,0.007305,3,0,0,,,
144228,0.0196889999999999,2,0,0,,,
396587,0.010006,2,0,0,0.0897,0.9846,0.0
328892,0.0145199999999999,2,0,0,0.0186,0.9826,0.0
142504,0.0116569999999999,1,0,1,,,0.0
276009,0.01885,2,0,0,,,
112860,0.020246,3,0,0,,,
335920,0.04622,1,0,0,,,
350863,0.006296,3,0,0,,,
293135,0.006233,2,0,0,0.1353,0.9776,0.06
356129,0.0145199999999999,2,0,0,,,
384897,0.018801,2,0,0,0.033,0.9732,0.0
223646,0.031329,2,0,0,,,
173253,0.00496,2,1,0,,,
215640,0.030755,2,0,0,,,
343279,0.010006,1,0,0,0.0938,0.9831,0.08
151641,0.035792,2,1,0,,,
354408,0.007305,3,0,0,,,
191283,0.018209,3,0,0,,,
437976,0.009549,2,0,0,0.0928,0.9841,0.0
270900,0.020713,3,0,0,0.1155,0.9771,0.0
333770,0.072508,1,0,0,0.0691,0.9613,0.16
100994,0.0196889999999999,2,0,0,,,
453502,0.016612,2,0,0,,,
394486,0.010032,2,0,0,0.0694,0.9866,0.0264
282894,0.010556,3,0,0,,,
182795,0.010032,2,0,0,,,
212770,0.028663,2,0,0,0.0866,0.9965,0.08
104379,0.014464,2,0,0,0.0928,0.9841,0.0
171872,0.0228,2,1,0,,,
200431,0.031329,2,0,0,0.0124,0.9811,0.0
100329,0.006852,3,0,1,,,
218173,0.020713,3,0,0,0.0165,0.9667,0.0
421971,0.022625,2,0,0,,,
387870,0.02461,2,0,0,0.1948,0.9916,0.2
159014,0.010032,2,0,0,,0.9732,
190244,0.0228,2,0,0,0.1402,0.9935,0.0
102663,0.00496,2,0,0,,,
280345,0.0031219999999999,3,0,0,,,
445833,0.00702,2,0,0,,,
444553,0.010276,2,0,1,,,
185657,0.010966,2,0,0,0.0722,0.9841,0.0
264643,0.0145199999999999,2,0,0,,,
120394,0.0088659999999999,2,0,0,,0.9821,
441534,0.025164,2,0,0,0.0619,0.9846,0.0
193209,0.04622,1,0,0,0.0124,0.9677,0.0
282406,0.028663,2,0,0,0.0361,0.9871,0.0
389844,0.00712,2,0,0,,,
285107,0.00733,2,0,0,,,
114054,0.0145199999999999,2,0,0,,,
434912,0.018801,2,0,0,,,
424466,0.006629,2,0,0,,,
283550,0.018029,3,0,0,0.0165,0.9583,0.0
241225,0.0072739999999999,2,0,0,0.0742,0.9881,0.08
215446,0.02461,2,0,0,,,
389939,0.0145199999999999,2,0,0,,,
378607,0.0084739999999999,2,0,0,,0.9806,0.08
127783,0.002042,3,0,0,,,
