SK_ID_CURR,TARGET_CREDIT_LIMIT
226876,64480.61
373847,25354.17
207587,68903.69
291264,56214.45
259270,58432.76
120868,57161.8
250284,39119.39
441049,44662.94
276718,54570.8
338032,40725.2
105903,29174.84
282708,66992.55
203607,107745.3
247668,41447.04
144228,19627.17
396587,85827.63
328892,37187.37
142504,86210.54
276009,12893.16
112860,45499.86
335920,76398.48
350863,32869.61
293135,48917.96
356129,99530.12
384897,98355.66
223646,30655.78
173253,42612.58
215640,54636.12
343279,189192.42
151641,32254.81
354408,51275.48
191283,24367.52
437976,36499.0
270900,21581.28
333770,157889.58
100994,33545.74
453502,75050.17
394486,51544.84
282894,25698.28
182795,73980.66
212770,34880.41
104379,16933.39
171872,23247.48
200431,41608.0
100329,36105.7
218173,21147.82
421971,8493.1
387870,41094.04
159014,83386.61
190244,22044.79
102663,21180.8
280345,23265.4
445833,57848.56
444553,61197.33
185657,75377.49
264643,37828.61
120394,67650.91
441534,52802.47
193209,51620.54
282406,8791.28
389844,35256.42
285107,30233.84
114054,18659.56
434912,19889.97
424466,142531.32
283550,22267.61
241225,142592.81
215446,70249.9
389939,33188.87
378607,38890.68
127783,79476.26
361609,54226.72
388358,31200.11
125771,194496.08
211172,46498.04
332600,55619.88
188539,86474.91
111837,48124.82
127600,94387.76
194888,42217.86
242983,49980.81
310987,31407.74
214517,46946.48
169151,43064.85
223145,70596.52
279072,20209.85
305588,37672.55
447340,22674.89
420244,125003.49
436984,47869.75
244434,56146.11
332898,88600.87
183771,52576.53
335089,80447.02
188541,45137.77
449423,36175.61
346527,42078.02
415863,35176.34
240050,72745.35
455320,73115.02
245238,13309.06
126030,33017.91
211879,45292.54
417935,28592.97
163153,36245.5
427266,31576.03
439170,57452.24
273767,70393.11
392777,34268.29
325562,78722.53
284053,139805.36
323226,49698.85
346148,25668.28
354219,81052.91
178710,58937.23
331407,46931.01
246309,62923.48
420974,35482.29
119726,17884.51
447707,24364.48
380884,26942.18
269572,48650.23
340950,31182.57
114204,35340.53
308770,30480.16
234525,58036.33
437366,78460.61
190283,12294.02
168944,24435.89
454711,46250.09
143213,54984.24
445336,43107.14
312320,76654.03
363132,33033.78
292297,59284.24
437923,75428.77
339270,14779.29
392875,42283.24
275403,62544.22
226578,29725.32
208344,21566.44
218691,32682.15
321005,60121.28
367809,33433.52
454051,70067.68
301821,24910.34
215134,98734.94
423318,68467.17
403442,36865.46
240795,17150.62
396972,62499.93
283529,55600.54
175324,59671.21
256548,19349.39
353760,23614.1
264263,31834.87
240957,84181.6
422714,37917.41
112420,32458.99
320518,52510.04
142293,56656.65
151179,34313.24
374887,118175.84
287684,44226.27
101007,55860.27
217483,44105.11
350316,57285.37
363628,37307.84
259764,109049.11
413283,60817.96
136207,23402.25
389938,21336.98
438785,78085.78
425296,43111.68
229158,56769.55
251142,73771.56
391183,65457.42
347842,116865.63
363523,48952.54
318884,21001.08
239698,27874.68
366030,56219.19
419182,50972.37
375583,38586.62
162458,18951.03
133265,86401.51
249349,163789.02
338309,180702.9
391415,67967.65
275144,163145.58
128768,30330.04
108881,10531.95
179385,50399.58
191027,114384.51
231923,19393.35
370888,29456.24
126271,10490.72
100588,55486.12
427808,94041.66
111281,37404.93
328010,27529.1
155461,64589.04
103852,53468.55
262795,46466.54
337114,42511.49
323391,88301.89
168972,16774.24
406191,40042.02
305638,54390.87
177969,9421.43
362810,67847.34
269444,47802.27
361391,45246.57
296735,50385.36
104785,34507.88
139785,249524.64
111029,23807.95
343804,76528.5
182529,52139.14
243516,35109.21
430741,75095.05
153085,36412.74
209042,59838.27
335350,96423.64
188395,21220.65
119661,49677.62
104626,124390.4
403502,34444.17
244660,19668.46
229192,59159.77
382915,54527.78
169334,40259.47
124394,12756.4
425328,37204.5
228037,60809.19
216037,27580.49
245553,20782.49
170100,69825.93
139080,52435.89
123590,39357.45
414287,34161.25
259998,89013.41
248711,30918.97
346350,70787.79
185063,76293.67
434232,11517.1
227644,74539.38
127260,38836.16
296889,144782.16
453757,104667.43
361635,66805.67
388855,27260.19
169156,51460.65
403106,11723.26
233665,22664.08
169135,28250.97
453401,27498.01
372047,96580.9
210596,81605.01
412086,116727.14
423136,19050.15
101480,42196.79
233870,58065.43
214816,20471.05
294335,38801.61
433949,40351.45
126552,30426.57
291860,51388.59
287509,16360.28
325050,28279.1
264098,35058.04
215954,37796.31
318691,35052.6
379449,23584.86
215343,41055.03
281530,54101.91
319103,53884.3
324232,63503.02
138214,42436.93
212728,39981.24
127401,54691.13
119015,91869.45
182435,26544.02
305241,137591.88
273033,17693.16
343590,42224.23
443849,36649.89
187982,21182.27
145582,35347.67
415504,62412.9
220561,44441.77
372804,25279.43
166735,14040.9
163509,23397.92
180546,36355.96
263701,61457.51
322947,28429.1
313098,98625.14
297016,51744.25
302058,39655.67
352985,15929.42
124548,119462.87
392308,23410.25
439397,30336.03
419065,78818.3
267315,23066.9
393705,33204.15
455996,55849.22
176481,81833.68
233873,108274.03
159045,70827.68
316306,7201.99
228542,51700.06
256095,41759.12
283355,65917.93
